Date,UK
2003-05-07,2417.3648556549624
2003-05-08,2391.1335289930985
2003-05-09,2417.5975447665364
2003-05-12,2441.376227440569
2003-05-13,2446.276629899842
2003-05-14,2454.4596638065227
2003-05-15,2484.2437635919628
2003-05-16,2509.413797238053
2003-05-19,2461.551048820163
2003-05-20,2477.8567349690275
2003-05-21,2467.09083015034
2003-05-22,2485.565865044956
2003-05-23,2485.036250079303
2003-05-26,2486.174365118115
2003-05-27,2499.049408200286
2003-05-28,2537.9732961443005
2003-05-29,2569.833402686631
2003-05-30,2529.0291670815964
2003-06-02,2571.642423211393
2003-06-03,2557.4262647106198
2003-06-04,2570.4143286796125
2003-06-05,2594.1862900397123
2003-06-06,2640.2635429267284
2003-06-09,2602.0445104071364
2003-06-10,2593.6679319661393
2003-06-11,2648.3405136578144
2003-06-12,2657.8864628859283
2003-06-13,2638.1830919583613
2003-06-16,2670.790293810958
2003-06-17,2709.4428129043117
2003-06-18,2702.447192957607
2003-06-19,2651.772495609322
2003-06-20,2653.869802023759
2003-06-23,2609.287284456778
2003-06-24,2586.752324017694
2003-06-25,2609.2394641050955
2003-06-26,2575.616438406015
2003-06-27,2573.7803951915243
2003-06-30,2550.6996369949184
2003-07-01,2526.406362317953
2003-07-02,2558.0770673798606
2003-07-03,2584.2435705785024
2003-07-04,2574.30035295659
2003-07-07,2582.007461601825
2003-07-08,2559.6991908984073
2003-07-09,2540.0810597104733
2003-07-10,2522.456284552849
2003-07-11,2541.9789886335093
2003-07-14,2573.6116857129973
2003-07-15,2522.009499530511
2003-07-16,2497.456084786638
2003-07-17,2477.366185633909
2003-07-18,2476.910432309946
2003-07-21,2480.9489855583633
2003-07-22,2507.781020429541
2003-07-23,2523.237909700214
2003-07-24,2571.8627513456104
2003-07-25,2573.4616608913416
2003-07-28,2587.933164253855
2003-07-29,2582.8188806066096
2003-07-30,2572.96079005539
2003-07-31,2566.598105825186
2003-08-01,2532.704078666521
2003-08-04,2536.6222298514563
2003-08-05,2544.5834042627953
2003-08-06,2520.9144767453286
2003-08-07,2544.9202473811793
2003-08-08,2564.1699823111576
2003-08-11,2570.415092331531
2003-08-12,2574.721204089567
2003-08-13,2592.6671122612365
2003-08-14,2614.724428550119
2003-08-15,2612.249422996575
2003-08-18,2621.5376820074844
2003-08-19,2600.6101412167022
2003-08-20,2598.2898377475085
2003-08-21,2584.81512714659
2003-08-22,2571.6311141764195
2003-08-25,2573.756023887491
2003-08-26,2540.118204023104
2003-08-27,2560.8280212571262
2003-08-28,2564.5477142217774
2003-08-29,2549.074502113776
2003-09-01,2559.0953056952394
2003-09-02,2560.5929520477475
2003-09-03,2594.4353868953317
2003-09-04,2602.9147557695173
2003-09-05,2616.18967683626
2003-09-08,2638.6641179682993
2003-09-09,2625.8802594213685
2003-09-10,2619.2535192580826
2003-09-11,2620.7707702880243
2003-09-12,2633.8049756023397
2003-09-15,2643.050575918433
2003-09-16,2646.571536506107
2003-09-17,2668.7511902495316
2003-09-18,2703.056260592802
2003-09-19,2693.329917272643
2003-09-22,2702.7912059081077
2003-09-23,2707.2915799012344
2003-09-24,2722.7460025611886
2003-09-25,2709.9769536971576
2003-09-26,2676.8196334148715
2003-09-29,2669.501469478942
2003-09-30,2639.1942429251594
2003-10-01,2697.6607993814587
2003-10-02,2727.718965711895
2003-10-03,2762.6548953978827
2003-10-06,2768.7512786004536
2003-10-07,2764.514137535444
2003-10-08,2749.9683313723517
2003-10-09,2783.226543199427
2003-10-10,2787.062448973138
2003-10-13,2815.6026777515276
2003-10-14,2801.0282849086166
2003-10-15,2825.5134652725733
2003-10-16,2828.548202906042
2003-10-17,2815.9400181644855
2003-10-20,2825.028570762467
2003-10-21,2828.795689611667
2003-10-22,2806.869557350512
2003-10-23,2781.116708308104
2003-10-24,2787.957301620984
2003-10-27,2793.2499643121973
2003-10-28,2804.421632585096
2003-10-29,2812.814481854709
2003-10-30,2833.5205509250777
2003-10-31,2818.4836030411097
2003-11-03,2821.973825234372
2003-11-04,2814.233631428499
2003-11-05,2804.0160047171516
2003-11-06,2797.3241423415916
2003-11-07,2830.564776272658
2003-11-10,2813.1959914105964
2003-11-11,2804.1192163862565
2003-11-12,2841.5273606474743
2003-11-13,2856.3220174772136
2003-11-14,2871.2333616281417
2003-11-17,2841.1603868873785
2003-11-18,2870.015482670582
2003-11-19,2853.2278520842888
2003-11-20,2847.1615578327705
2003-11-21,2854.9650586700395
2003-11-24,2880.6433764433564
2003-11-25,2888.655698273307
2003-11-26,2901.6982449941383
2003-11-27,2903.825025355256
2003-11-28,2902.1910517664637
2003-12-01,2949.208512846901
2003-12-02,2943.2784578749533
2003-12-03,2951.7245905719665
2003-12-04,2929.7050392431224
2003-12-05,2932.52371975808
2003-12-08,2939.5424093465494
2003-12-09,2966.0821981743597
2003-12-10,2945.986192992061
2003-12-11,2935.7879207772876
2003-12-12,2952.2803617925197
2003-12-15,2954.239578977094
2003-12-16,2948.485996023656
2003-12-17,2983.134907211255
2003-12-18,3021.5740302065988
2003-12-19,3025.593201624422
2003-12-22,3031.1513520503054
2003-12-23,3051.5779471434107
2003-12-24,3067.5593840836655
2003-12-25,3067.5593840836655
2003-12-26,3070.9316587476387
2003-12-29,3071.2717942673594
2003-12-30,3097.7515169362205
2003-12-31,3119.6543312234307
2004-01-01,3119.6543312234307
2004-01-02,3139.741063570308
2004-01-05,3171.6121151090892
2004-01-06,3192.298921829389
2004-01-07,3168.6768864872024
2004-01-08,3199.389974920135
2004-01-09,3212.4160763746345
2004-01-12,3206.3711859706978
2004-01-13,3201.0667110252625
2004-01-14,3198.1941432071135
2004-01-15,3165.3692546284447
2004-01-16,3151.513393838639
2004-01-19,3142.660907698472
2004-01-20,3185.3412954883365
2004-01-21,3219.902669500373
2004-01-22,3214.646236068103
2004-01-23,3183.575673681594
2004-01-26,3149.5678527599907
2004-01-27,3149.5356906528195
2004-01-28,3180.4514497538676
2004-01-29,3111.57613295771
2004-01-30,3110.141311372511
2004-02-02,3104.8641783926055
2004-02-03,3143.0496959422026
2004-02-04,3131.08826612895
2004-02-05,3139.862737337067
2004-02-06,3169.2101855415335
