Date,GERMANY
2015-12-04,4953.309795606021
2015-12-07,4998.28328483995
2015-12-08,4910.155812312478
2015-12-09,4917.378035885243
2015-12-10,4907.389452331072
2015-12-11,4817.234748364866
2015-12-14,4739.350328274624
2015-12-15,4834.107710648807
2015-12-16,4855.652790199488
2015-12-17,4924.495614137996
2015-12-18,4871.309729826353
2015-12-21,4851.39264278223
2015-12-22,4872.428386904609
2015-12-23,4939.772756555249
2015-12-24,4975.642240241804
2015-12-25,4975.642240241804
2015-12-28,4947.65582190812
2015-12-29,5011.633831607585
2015-12-30,4960.819622005394
2015-12-31,4937.864438891707
2016-01-01,4937.864438891707
2016-01-04,4710.955216742924
2016-01-05,4681.608464825525
2016-01-06,4648.658271379182
2016-01-07,4576.846848061312
2016-01-08,4550.977083673777
2016-01-11,4515.525900398297
2016-01-12,4580.321756977784
2016-01-13,4580.967927064978
2016-01-14,4499.43834634706
2016-01-15,4430.384356046619
2016-01-18,4385.286307264037
2016-01-19,4461.786932534219
2016-01-20,4333.089043834487
2016-01-21,4385.871286953275
2016-01-22,4480.793104718843
2016-01-25,4473.8533738077085
2016-01-26,4517.736007958634
2016-01-27,4549.570433147614
2016-01-28,4470.815887409806
2016-01-29,4497.19104617448
2016-02-01,4509.110488714961
2016-02-02,4432.254373468466
2016-02-03,4426.875072572009
2016-02-04,4458.645893136106
2016-02-05,4398.086934684139
2016-02-08,4251.157282720463
2016-02-09,4266.172069556788
2016-02-10,4289.274113642899
2016-02-11,4219.149614957152
2016-02-12,4280.12782525262
2016-02-15,4359.650283814276
2016-02-16,4327.298582538508
2016-02-17,4437.388157923688
2016-02-18,4462.633294529342
2016-02-19,4431.954454388123
2016-02-22,4485.722645029368
2016-02-23,4410.307299371594
2016-02-24,4291.329342352167
2016-02-25,4371.538210461956
2016-02-26,4408.779195171012
2016-02-29,4381.490398475886
2016-03-01,4480.1751418042795
2016-03-02,4489.388134635872
2016-03-03,4519.918525232337
2016-03-04,4582.8184775423215
2016-03-07,4550.325737506903
2016-03-08,4537.022848634916
2016-03-09,4534.00566714377
2016-03-10,4487.518282492042
2016-03-11,4647.8853870798
2016-03-14,4698.849480949374
2016-03-15,4672.046313446371
2016-03-16,4681.646732153805
2016-03-17,4743.933232686817
2016-03-18,4759.155477976666
2016-03-21,4746.659446985144
2016-03-22,4752.767767680738
2016-03-23,4746.260841238087
2016-03-24,4660.59213813
2016-03-25,4660.5921381299995
2016-03-28,4682.092607974912
2016-03-29,4688.327422485834
2016-03-30,4836.4132360013655
2016-03-31,4814.310556016449
2016-04-01,4714.6545722825895
2016-04-04,4743.257386565905
2016-04-05,4622.50775078154
2016-04-06,4651.944249800432
2016-04-07,4607.462156854344
2016-04-08,4663.828011177013
2016-04-11,4704.1094178242465
2016-04-12,4710.082018535899
2016-04-13,4793.655291623594
2016-04-14,4814.195784579447
2016-04-15,4808.968743982099
2016-04-18,4853.144668796955
2016-04-19,4979.059091621815
2016-04-20,4994.700983640651
2016-04-21,4976.796073797896
